04:59:56 1863.0 ppm (-22), brightness: 0.148, window is closed -> open window
06:00:00 1586.0 ppm (+21), brightness: 0.148, window is open -> close window
20:00:16 1291.0 ppm (+6), brightness: 0.148, window is closed -> open window
20:00:16 1291.0 ppm (+6), brightness: 0.148, window is closed -> close window
20:01:46 1289.0 ppm (-8), brightness: 0.148, window is closed -> open window
20:01:46 1289.0 ppm (-8), brightness: 0.148, window is closed -> close window
20:00:05 1273.0 ppm (+19), brightness: 0.148, window is closed -> open window
20:00:05 1273.0 ppm (+19), brightness: 0.148, window is closed -> close window
20:01:35 1273.0 ppm (+25), brightness: 0.148, window is closed -> open window
20:01:35 1273.0 ppm (+25), brightness: 0.148, window is closed -> close window
19:59:54 1237.0 ppm (+11), brightness: 0.148, window is closed -> open window
19:59:54 1237.0 ppm (+11), brightness: 0.148, window is closed -> close window
20:01:24 1239.0 ppm (+2), brightness: 0.148, window is closed -> open window
20:01:24 1239.0 ppm (+2), brightness: 0.148, window is closed -> close window
20:02:54 1235.0 ppm (-2), brightness: 0.148, window is closed -> open window
20:02:54 1235.0 ppm (-2), brightness: 0.148, window is closed -> close window
19:59:42 1229.0 ppm (+11), brightness: 0.148, window is closed -> open window
19:59:42 1229.0 ppm (+11), brightness: 0.148, window is closed -> close window
20:01:12 1229.0 ppm (-18), brightness: 0.148, window is closed -> open window
20:01:12 1229.0 ppm (-18), brightness: 0.148, window is closed -> close window
20:02:42 1229.0 ppm (+0), brightness: 0.148, window is closed -> open window
20:02:42 1229.0 ppm (+0), brightness: 0.148, window is closed -> close window
00:12:56 2031.0 ppm (+165), brightness: 0.148, window is closed -> open window
01:29:30 1349.0 ppm (-16), brightness: 0.148, window is open -> close window
16:24:53 2016.0 ppm (+55), brightness: 0.148, window is closed -> open window
18:10:58 1347.0 ppm (-33), brightness: 0.148, window is open -> close window
20:00:04 1473.0 ppm (+4), brightness: 0.147, window is closed -> open window
20:16:35 1343.0 ppm (-24), brightness: 0.148, window is open -> close window
23:14:45 2002.0 ppm (+13), brightness: 0.662, window is closed -> open window
23:35:16 1348.0 ppm (-20), brightness: 0.258, window is open -> close window
00:37:19 2006.0 ppm (+15), brightness: 0.148, window is closed -> open window
00:59:50 1348.0 ppm (-15), brightness: 0.148, window is open -> close window
03:19:58 2007.0 ppm (+18), brightness: 0.148, window is closed -> open window
03:58:00 1345.0 ppm (-14), brightness: 0.148, window is open -> close window
05:00:03 1937.0 ppm (-17), brightness: 0.148, window is closed -> open window
06:00:07 1382.0 ppm (+4), brightness: 0.148, window is open -> close window
20:00:23 1485.0 ppm (-6), brightness: 0.148, window is closed -> open window
20:17:24 1345.0 ppm (-12), brightness: 0.148, window is open -> close window
02:22:14 2006.0 ppm (+22), brightness: 0.148, window is closed -> open window
03:11:17 1349.0 ppm (-33), brightness: 0.148, window is open -> close window
04:59:53 1899.0 ppm (+8), brightness: 0.148, window is closed -> open window
05:36:25 1347.0 ppm (-57), brightness: 0.148, window is open -> close window
15:04:56 2022.0 ppm (+51), brightness: 0.156, window is closed -> open window
18:07:36 1337.0 ppm (-20), brightness: 0.148, window is open -> close window
20:00:12 1334.0 ppm (+17), brightness: 0.148, window is closed -> open window
20:00:12 1334.0 ppm (+17), brightness: 0.148, window is closed -> close window
20:01:42 1313.0 ppm (-6), brightness: 0.148, window is closed -> open window
20:01:42 1313.0 ppm (-6), brightness: 0.148, window is closed -> close window
20:09:12 2014.0 ppm (+153), brightness: 0.148, window is closed -> open window
20:29:43 1671.0 ppm (-37), brightness: 0.148, window is open -> close window
00:27:56 2004.0 ppm (+27), brightness: 0.148, window is closed -> open window
05:38:44 1344.0 ppm (-27), brightness: 0.148, window is open -> close window
20:00:01 1286.0 ppm (+10), brightness: 0.148, window is closed -> open window
20:00:01 1286.0 ppm (+10), brightness: 0.148, window is closed -> close window
20:01:31 1280.0 ppm (+14), brightness: 0.148, window is closed -> open window
20:01:31 1280.0 ppm (+14), brightness: 0.148, window is closed -> close window
21:26:06 2013.0 ppm (+20), brightness: 0.148, window is closed -> open window
21:45:07 1349.0 ppm (-19), brightness: 0.148, window is open -> close window
04:43:31 2005.0 ppm (+45), brightness: 0.148, window is closed -> open window
05:11:02 1350.0 ppm (-22), brightness: 0.148, window is open -> close window
19:59:51 1305.0 ppm (+17), brightness: 0.148, window is closed -> open window
19:59:51 1305.0 ppm (+17), brightness: 0.148, window is closed -> close window
20:01:21 1295.0 ppm (+9), brightness: 0.148, window is closed -> open window
20:01:21 1295.0 ppm (+9), brightness: 0.148, window is closed -> close window
20:02:21 1299.0 ppm (-6), brightness: 0.148, window is closed -> open window
20:02:21 1299.0 ppm (-6), brightness: 0.148, window is closed -> close window
22:41:00 2004.0 ppm (+55), brightness: 0.148, window is closed -> open window
23:31:33 1348.0 ppm (-12), brightness: 0.148, window is open -> close window
20:00:11 1417.0 ppm (-24), brightness: 0.148, window is closed -> open window
20:07:11 1335.0 ppm (-31), brightness: 0.148, window is open -> close window
01:58:00 2043.0 ppm (+102), brightness: 0.148, window is closed -> open window
02:34:02 1347.0 ppm (-25), brightness: 0.148, window is open -> close window
03:33:35 2023.0 ppm (+31), brightness: 0.148, window is closed -> open window
05:01:10 1341.0 ppm (-16), brightness: 0.148, window is open -> close window
18:19:24 2110.0 ppm (+215), brightness: 0.148, window is closed -> open window
20:29:31 2486.0 ppm (+11), brightness: 0.148, window is open -> close window
20:30:31 2466.0 ppm (+3), brightness: 0.148, window is closed -> open window
20:30:31 2466.0 ppm (+3), brightness: 0.148, window is closed -> close window
20:32:01 2484.0 ppm (-2), brightness: 0.148, window is closed -> open window
20:32:01 2484.0 ppm (-2), brightness: 0.148, window is closed -> close window
20:33:31 2409.0 ppm (-57), brightness: 0.148, window is closed -> open window
20:33:31 2409.0 ppm (-57), brightness: 0.148, window is closed -> close window
20:35:01 2358.0 ppm (-126), brightness: 0.148, window is closed -> open window
20:35:01 2358.0 ppm (-126), brightness: 0.148, window is closed -> close window
20:36:01 2159.0 ppm (-250), brightness: 0.147, window is closed -> open window
22:01:43 1766.0 ppm (-234), brightness: 0.147, window is closed, command open5
22:07:43 1335.0 ppm (-49), brightness: 0.148, window is open -> close window
22:17:44 1446.0 ppm (+21), brightness: 0.148, window is closed, command open
22:21:14 1613.0 ppm (-387), brightness: 0.148, window is closed, command close
22:22:44 1615.0 ppm (-9), brightness: 0.148, window is closed, command open
22:23:44 1617.0 ppm (-25), brightness: 0.148, window is open, command close
23:41:17 2003.0 ppm (+25), brightness: 0.148, window is closed -> open window
23:48:18 1333.0 ppm (-57), brightness: 0.148, window is open -> close window
01:41:23 2014.0 ppm (+65), brightness: 0.148, window is closed -> open window
01:48:53 1323.0 ppm (-57), brightness: 0.148, window is open -> close window
04:14:30 2024.0 ppm (+52), brightness: 0.148, window is closed -> open window
04:23:00 1317.0 ppm (-55), brightness: 0.148, window is open -> close window
05:02:02 1725.0 ppm (+99), brightness: 0.148, window is closed -> open window
05:08:02 1346.0 ppm (-65), brightness: 0.148, window is open -> close window
05:43:34 1700.0 ppm (+12), brightness: 0.148, window is closed -> open window
05:49:04 1338.0 ppm (-60), brightness: 0.148, window is open -> close window
07:42:09 2005.0 ppm (+18), brightness: 0.451, window is closed -> open window
07:50:09 1332.0 ppm (-35), brightness: 0.636, window is open -> close window
19:59:42 1254.0 ppm (-2), brightness: 0.147, window is closed -> open window
19:59:42 1254.0 ppm (-2), brightness: 0.147, window is closed -> close window
20:01:12 1245.0 ppm (-20), brightness: 0.148, window is closed -> open window
20:01:12 1245.0 ppm (-20), brightness: 0.148, window is closed -> close window
20:02:12 1248.0 ppm (-6), brightness: 0.161, window is closed -> open window
20:02:12 1248.0 ppm (-6), brightness: 0.161, window is closed -> close window
23:25:52 2022.0 ppm (+28), brightness: 0.148, window is closed -> open window
23:42:52 1333.0 ppm (-26), brightness: 0.148, window is open -> close window
03:48:33 2016.0 ppm (+95), brightness: 0.148, window is closed -> open window
04:00:04 1344.0 ppm (-15), brightness: 0.148, window is open -> close window
05:39:08 2000.0 ppm (+12), brightness: 0.148, window is closed -> open window
05:55:09 1338.0 ppm (-31), brightness: 0.148, window is open -> close window
06:46:41 2007.0 ppm (+10), brightness: 0.148, window is closed -> open window
07:16:43 1347.0 ppm (-49), brightness: 0.154, window is open -> close window
01:07:01 2012.0 ppm (+30), brightness: 0.148, window is closed -> open window
02:42:05 1349.0 ppm (-2), brightness: 0.148, window is open -> close window
03:36:07 2021.0 ppm (+68), brightness: 0.148, window is closed -> open window
06:22:15 1350.0 ppm (-38), brightness: 0.148, window is open -> close window
23:29:30 2027.0 ppm (+57), brightness: 0.148, window is closed -> open window
23:53:31 1348.0 ppm (-45), brightness: 0.147, window is open -> close window
00:52:04 2018.0 ppm (+73), brightness: 0.148, window is closed -> open window
01:10:35 1336.0 ppm (-31), brightness: 0.148, window is open -> close window
02:53:10 2001.0 ppm (+5), brightness: 0.148, window is closed -> open window
03:09:40 1349.0 ppm (-23), brightness: 0.148, window is open -> close window
04:52:45 2000.0 ppm (+23), brightness: 0.148, window is closed -> open window
05:06:46 1341.0 ppm (-25), brightness: 0.148, window is open -> close window
06:57:51 2002.0 ppm (+30), brightness: 0.148, window is closed -> open window
07:10:51 1338.0 ppm (-20), brightness: 0.148, window is open -> close window
05:29:21 2004.0 ppm (+100), brightness: 0.148, window is closed -> open window
06:22:23 1467.0 ppm (-22), brightness: 0.147, window is open, command close
08:03:28 2026.0 ppm (+108), brightness: 0.148, window is closed -> open window
18:45:27 1348.0 ppm (-14), brightness: 0.148, window is open -> close window
04:52:54 1703.0 ppm (-2), brightness: 0.148, window is closed, command open
05:16:55 1392.0 ppm (-15), brightness: 0.148, window is open, command close
07:21:00 2027.0 ppm (+127), brightness: 0.156, window is closed -> open window
08:27:03 1424.0 ppm (+19), brightness: 0.779, window is open, command close
02:04:50 2024.0 ppm (+51), brightness: 0.148, window is closed -> open window
04:22:26 1349.0 ppm (-38), brightness: 0.148, window is open -> close window
08:28:37 2070.0 ppm (+166), brightness: 0.148, window is closed -> open window
